model_name,status,gpu_id,input_shape,input_type,base_mem_mib,post_load_mem_mib,peak_total_mem_mib,peak_warmup_mem_mib,peak_measure_mem_mib,steady_mem_mib,warmup_avg_latency_ms,measure_avg_latency_ms,measure_min_latency_ms,measure_max_latency_ms,warmup_runs,measure_runs,error,model_path
mobilenet_v2_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,386,3304,3304,3304,3304,734.6894,25.7296,25.5219,26.0617,5,10,,/cyq/hase/model_zoo/models/mobilenet_v2_bs64_224x224.onnx
mobilenet_v2_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,398,10420,10420,10420,10420,1188.1884,116.219,113.9586,119.7433,5,10,,/cyq/hase/model_zoo/models/mobilenet_v2_bs64_448x448.onnx
mobilenet_v3_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,398,2996,2996,2996,2996,732.4258,36.8475,35.7294,38.5909,5,10,,/cyq/hase/model_zoo/models/mobilenet_v3_bs128_224x224.onnx
mobilenet_v3_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,402,9176,9176,9144,9144,1251.2464,134.951,125.2587,156.1587,5,10,,/cyq/hase/model_zoo/models/mobilenet_v3_bs128_448x448.onnx
mobilenet_v3_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,402,1702,1702,1432,1432,634.821,14.1692,13.9419,14.5434,5,10,,/cyq/hase/model_zoo/models/mobilenet_v3_bs32_224x224.onnx
mobilenet_v3_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,400,3006,3006,2998,2998,757.4205,42.9719,35.0612,62.355,5,10,,/cyq/hase/model_zoo/models/mobilenet_v3_bs32_448x448.onnx
mobilenet_v3_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,402,2006,2006,1976,1976,671.0195,22.4504,21.9905,24.7154,5,10,,/cyq/hase/model_zoo/models/mobilenet_v3_bs64_224x224.onnx
mobilenet_v3_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,398,5044,5044,5044,5044,923.8621,82.6098,67.6819,110.6453,5,10,,/cyq/hase/model_zoo/models/mobilenet_v3_bs64_448x448.onnx
resnet152_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,622,5848,5848,5012,5012,1468.873,128.003,126.1045,129.3808,5,10,,/cyq/hase/model_zoo/models/resnet152_bs128_224x224.onnx
resnet152_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,626,18200,18200,18072,18072,3161.7111,457.2263,455.9948,458.6199,5,10,,/cyq/hase/model_zoo/models/resnet152_bs128_448x448.onnx
resnet152_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,622,4284,4284,1940,1940,988.6173,51.1251,42.5057,65.3199,5,10,,/cyq/hase/model_zoo/models/resnet152_bs32_224x224.onnx
resnet152_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,622,8166,8166,5012,5012,1741.3417,139.1142,127.7478,155.2132,5,10,,/cyq/hase/model_zoo/models/resnet152_bs32_448x448.onnx
resnet152_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,624,4538,4538,2966,2966,1126.4648,81.8608,68.8519,117.5901,5,10,,/cyq/hase/model_zoo/models/resnet152_bs64_224x224.onnx
resnet152_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,626,11768,11768,9624,9624,2165.6443,284.4789,279.6377,292.0717,5,10,,/cyq/hase/model_zoo/models/resnet152_bs64_448x448.onnx
resnet18_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,432,3764,3764,2132,2132,549.7803,31.5462,31.1447,32.0115,5,10,,/cyq/hase/model_zoo/models/resnet18_bs128_224x224.onnx
resnet18_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,432,7142,7142,5588,5588,828.4,100.862,99.2585,102.0329,5,10,,/cyq/hase/model_zoo/models/resnet18_bs128_448x448.onnx
resnet18_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,432,2396,2396,1428,1428,486.3248,28.7716,9.1464,34.5613,5,10,,/cyq/hase/model_zoo/models/resnet18_bs32_224x224.onnx
resnet18_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,432,3356,3356,2132,2132,564.1554,30.836,30.3279,31.1833,5,10,,/cyq/hase/model_zoo/models/resnet18_bs32_448x448.onnx
resnet18_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,434,2918,2918,1558,1558,492.1739,19.0027,18.8103,20.2533,5,10,,/cyq/hase/model_zoo/models/resnet18_bs64_224x224.onnx
resnet18_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,494,4124,4124,3346,3346,657.7171,66.7997,53.5227,76.9946,5,10,,/cyq/hase/model_zoo/models/resnet18_bs64_448x448.onnx
resnet50_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,496,6106,6106,5270,5270,848.5636,80.7613,66.97,121.1162,5,10,,/cyq/hase/model_zoo/models/resnet50_bs128_224x224.onnx
resnet50_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,496,18070,18070,17942,17942,1616.8242,243.7039,227.924,261.6287,5,10,,/cyq/hase/model_zoo/models/resnet50_bs128_448x448.onnx
resnet50_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,496,2656,2656,1942,1942,639.7876,22.0852,21.7979,23.3237,5,10,,/cyq/hase/model_zoo/models/resnet50_bs32_224x224.onnx
