Flops1,Flops2,Flops3,performance1,performance2,performance3,averagetime1,averagetime2,averagetime3
8857548800,0,0,0.022269968,0.065642652,22.76492574,0.065642652,0,0
258547251200.00,0,0,0.022269968,0.065642652,22.76492574,0.084999679,0,0
79320422400,0,0,0.022269968,0.065642652,22.76492574,0.073205106,0,0
1824033792,0,0,0.022269968,0.065642652,22.76492574,0.015821329,0,0
4133742592,0,0,0.022269968,0.065642652,22.76492574,0.022269968,0,0
11603945472,0,0,0.022269968,0.065642652,22.76492574,0.042488484,0,0
7609140224,0,0,0.022269968,0.065642652,22.76492574,0.012116109,0,0
15470314496,0,0,0.022269968,0.065642652,22.76492574,0.013002214,0,0
19632112640,0,0,0.022269968,0.065642652,22.76492574,0.013879559,0,0
2897007104,0,0,0.022269968,0.065642652,22.76492574,0.038321828,0,0
3436117120,0,0,0.022269968,0.065642652,22.76492574,0.049124501,0,0
4390381952,0,0,0.022269968,0.065642652,22.76492574,0.056702337,0,0
8857548800,8857548800,0,0.022269968,0.065642652,22.76492574,0.066859837,0.066945436,0
8857548800,258547251200.00,0,0.022269968,0.065642652,22.76492574,0.068324286,0.088627737,0
8857548800,79320422400,0,0.022269968,0.065642652,22.76492574,0.065449976,0.072408165,0
8857548800,1824033792,0,0.022269968,0.065642652,22.76492574,0.071592923,0.015953541,0
8857548800,4133742592,0,0.022269968,0.065642652,22.76492574,0.069318433,0.022165488,0
8857548800,11603945472,0,0.022269968,0.065642652,22.76492574,0.068939323,0.043147477,0
8857548800,7609140224,0,0.022269968,0.065642652,22.76492574,0.067865855,0.012561384,0
8857548800,15470314496,0,0.022269968,0.065642652,22.76492574,0.067378217,0.013133075,0
8857548800,19632112640,0,0.022269968,0.065642652,22.76492574,0.070226799,0.013439488,0
8857548800,2897007104,0,0.022269968,0.065642652,22.76492574,0.066546685,0.040534982,0
8857548800,3436117120,0,0.022269968,0.065642652,22.76492574,0.068033797,0.052693989,0
8857548800,4390381952,0,0.022269968,0.065642652,22.76492574,0.06614832,0.060680338,0
258547251200.00,258547251200.00,0,0.022269968,0.065642652,22.76492574,0.094705593,0.095408969,0
258547251200.00,79320422400,0,0.022269968,0.065642652,22.76492574,0.08891938,0.076517896,0
258547251200.00,1824033792,0,0.022269968,0.065642652,22.76492574,0.091032699,0.016031111,0
258547251200.00,4133742592,0,0.022269968,0.065642652,22.76492574,0.093983589,0.022330723,0
258547251200.00,11603945472,0,0.022269968,0.065642652,22.76492574,0.093077928,0.043499203,0
258547251200.00,7609140224,0,0.022269968,0.065642652,22.76492574,0.09521384,0.012490751,0
258547251200.00,15470314496,0,0.022269968,0.065642652,22.76492574,0.099080015,0.013110395,0
258547251200.00,19632112640,0,0.022269968,0.065642652,22.76492574,0.100516997,0.013470969,0
258547251200.00,2897007104,0,0.022269968,0.065642652,22.76492574,0.089241094,0.039149885,0
258547251200.00,3436117120,0,0.022269968,0.065642652,22.76492574,0.089477148,0.053187411,0
258547251200.00,4390381952,0,0.022269968,0.065642652,22.76492574,0.091584949,0.062262669,0
79320422400,79320422400,0,0.022269968,0.065642652,22.76492574,0.073264924,0.071520385,0
79320422400,1824033792,0,0.022269968,0.065642652,22.76492574,0.079437103,0.015805325,0
79320422400,4133742592,0,0.022269968,0.065642652,22.76492574,0.073510989,0.022266241,0
79320422400,11603945472,0,0.022269968,0.065642652,22.76492574,0.074434444,0.042703389,0
79320422400,7609140224,0,0.022269968,0.065642652,22.76492574,0.072723163,0.012460574,0
79320422400,15470314496,0,0.022269968,0.065642652,22.76492574,0.079163021,0.013392508,0
79320422400,19632112640,0,0.022269968,0.065642652,22.76492574,0.076205492,0.013674094,0
