model1,averagetime1,model2,averagetime2,model3,averagetime3
densenet121,0.028629515,qwen2.5,9.204958105,nan,0
densenet121,0.029365093,glm4,23.06996165,nan,0
densenet169,0.036472185,densenet169,0.036912147,nan,0
densenet169,0.038269146,densenet201,0.043636773,nan,0
densenet169,0.036308052,llama3,19.39365427,nan,0
densenet169,0.036004266,qwen2.5,10.18745631,nan,0
densenet169,0.038011936,glm4,21.98763886,nan,0
densenet201,0.041959569,densenet201,0.045539603,nan,0
densenet201,0.041259517,llama3,23.24019905,nan,0
densenet201,0.045986102,qwen2.5,10.26713702,nan,0
densenet201,0.043556294,glm4,22.48780444,nan,0
llama3,43.74455297,llama3,36.99794135,nan,0
llama3,34.17349046,qwen2.5,27.25979277,nan,0
llama3,41.38955468,glm4,38.83767515,nan,0
qwen2.5,30.40430741,qwen2.5,30.29987196,nan,0
qwen2.5,26.00868671,glm4,40.76747447,nan,0
glm4,36.588903,glm4,38.41667829,nan,0
yolov8n,0.056763376,yolov8n,0.059021009,yolov8n,0.059085728
yolov8n,0.056869152,yolov8n,0.063018456,yolov8x,0.06921868
yolov8n,0.058858719,yolov8n,0.05887509,yolov8m,0.059364413
yolov8n,0.061320094,yolov8n,0.061687537,resnet18,0.013794832
yolov8n,0.060339503,yolov8n,0.061880429,resnet50,0.01936036
yolov8n,0.059656522,yolov8n,0.059390927,resnet152,0.035779908
yolov8n,0.058905785,yolov8n,0.058506114,vgg11,0.011148009
yolov8n,0.058798024,yolov8n,0.059987996,vgg16,0.011738034
yolov8n,0.057926615,yolov8n,0.057108861,vgg19,0.011363931
yolov8n,0.058016145,yolov8n,0.056425429,densenet121,0.032634319
yolov8n,0.0589785,yolov8n,0.058715722,densenet169,0.04103291
yolov8n,0.05898197,yolov8n,0.058812734,densenet201,0.0470468
yolov8n,0.056940022,yolov8x,0.064687517,yolov8x,0.062355103
yolov8n,0.059081928,yolov8x,0.064376782,yolov8m,0.061755774
yolov8n,0.059815711,yolov8x,0.066765216,resnet18,0.013251282
yolov8n,0.059933931,yolov8x,0.064643722,resnet50,0.018469243
yolov8n,0.057312811,yolov8x,0.065471686,resnet152,0.034076683
yolov8n,0.05610525,yolov8x,0.061687261,vgg11,0.010762622
yolov8n,0.058995173,yolov8x,0.060551734,vgg16,0.011790346
yolov8n,0.058912057,yolov8x,0.063848664,vgg19,0.012037474
yolov8n,0.057192405,yolov8x,0.061561848,densenet121,0.030360577
yolov8n,0.05858205,yolov8x,0.064658756,densenet169,0.040839656
yolov8n,0.058337181,yolov8x,0.062966993,densenet201,0.045088366
yolov8n,0.05681353,yolov8m,0.061196063,yolov8m,0.059211543
yolov8n,0.05958146,yolov8m,0.063339477,resnet18,0.013051297
yolov8n,0.060510272,yolov8m,0.060918079,resnet50,0.018180246
yolov8n,0.059560084,yolov8m,0.06324383,resnet152,0.035764998
yolov8n,0.059221278,yolov8m,0.061868434,vgg11,0.01119745
yolov8n,0.059217209,yolov8m,0.061804191,vgg16,0.011718948
yolov8n,0.058777667,yolov8m,0.062055527,vgg19,0.012114821
yolov8n,0.058973064,yolov8m,0.061742409,densenet121,0.031535842
yolov8n,0.056218687,yolov8m,0.059076977,densenet169,0.039362451
yolov8n,0.059043801,yolov8m,0.061315228,densenet201,0.046684962
yolov8n,0.063250422,resnet18,0.014371753,resnet18,0.014399924
yolov8n,0.063592623,resnet18,0.014782578,resnet50,0.020184228
yolov8n,0.062470859,resnet18,0.014008025,resnet152,0.038383993
yolov8n,0.061620969,resnet18,0.013652449,vgg11,0.011794439
